recognize," vt. 认出,认可,承认,意识到,表示感激"
obstruction," n. 障碍, 妨碍, 闭塞"
stairway, n. 楼梯
adult," adj. 成年的,成人的，成熟的
n. 成年人"
limited, adj. 有限的
ecology, n. 生态学
unjust, adj. 不公平的
compose," vt. 组成, 写作, 作曲, 使镇静
vi. 创作"
gas," n. 煤气,气体,汽油,空话,能量
vt. 使吸入毒气,死,给...加汽油
vi. 空谈,加汽油"
magnificent," adj. 壮丽的,宏伟的,极好的"
namely," adv. 即, 也就是"
proper," adj. 适当的,正确的,合适的,正当的,规矩的"
victory, n. 胜利
regardless," adj. 不注意的, 粗心的
adv. 不顾"
weary," adj. 疲倦的,厌烦的
vt.& vi. 疲倦,厌烦,生厌"
aunt," n. 伯母, 姑, 婶, 姨"
toast," n. 烤(土司)面包, 干杯, 祝酒, 受敬酒的人等
vt. 敬酒, 烤...
vi. 烘烤"
rubbish," adj. 毫无价值的
n. 废话,垃圾,废物"
instrument," n. 乐器, 工具, 仪器, 器械"
false," adj. 不真实的,错误的,人造的,假的,虚伪的
adv. 不真诚地,虚伪地"
diploma, n. 文凭
kindness," n. 仁慈, 好意"
awful," adj. 可怕的, 畏惧的, 充满敬畏的, 艰难的
adv. 极其"
lace," n. 饰带, 花边, 缎带
v. 结带子, 饰以花边"
garage," n. 车库, 汽车修理厂
vt. 把...放入车库"
amuse," v. 消遣, 娱乐, 使...发笑"
terrify, v. 使害怕，使恐怖，威胁
successive," adj. 接连的, 连续的, 接二连三的"
engage,v. 啮合；雇用；聘用；吸引住（注意力、兴趣）；参与，从事
faulty," adj. 有错误的, 有缺点的"
mortal," adj.致命的； 不共戴天的； 终有一死的； 极度的
n.凡人，人类"
stripe," n. 条纹
vt. 使...带有条纹的"
brass," n. 黄铜(制品),铜管（乐器）
adj. 黄铜的"
bridge," n. 桥,鼻梁,桥牌
vt. 渡过,架桥"
personality," n. 个性, 名人, 特色"
virgin," n. 处女,未婚女子
adj. 纯洁的, 原始的，未开发的
维尔京群岛"
competitive," adj. 竞争的, 比赛的"
neat," adj. 整洁的, 巧妙的, 端正的, 极好的, 纯的
adv. 整齐地"
issue," n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
pond," n. 池塘
vt. 堵河成湖
vi. 形成池塘"
disturbance," n. 扰乱,骚动"
entry," n. 进入,入口,登记,项目"
hinge," n. 铰链,关键,枢纽
v. 装铰链,靠铰链移动,依...而移"
source, n. 来源
militia," n. 民兵组织，义勇军, 国民军"
scope," n. 能力，范围，眼界，机会，余地
vt. 仔细研究"
discipline," n. 训练, 纪律, 惩罚; 学科
vt. 训练, 惩罚"
variation," n. 变化,变动,变种,变奏曲"
backward," adj. 向后的
adv. 向后"
scientific, adj. 科学的
retreat," n. 休息寓所,撤退,隐居
vt. &vi. 撤退, 向后倾"
peaceful," adj. 安宁的, 和平的"
interfere," vi. 妨碍,冲突,干涉"
boiler, n. 锅炉
wing," n. 翅膀,翼
vt. 给...装上翼,飞行
vi. 飞行"
resident," adj. 居住的
n. 居民,旅客"
pistol," n. 手枪
vt. 用手枪射击"
damp," n. 毒气,湿气,丧气
adj. 潮湿的
vt. 呛,抑制,使潮湿
vi. 衰减"
previous," adj. 在...之前, 先, 前, 以前的"
freedom, n. 自由
correspondence, n. 通信；一致；相当
luxury," n. 奢侈, 豪华, 奢侈品"
throughout," adv. 到处, 自始至终
prep. 遍及, 贯穿"
keen," adj. 锋利的,敏锐的,强烈的,精明的,热衷于"
characterize," vt. 表示...的典型,赋予...特色"
multiplication," n. 乘法,增加,乘法表
[计算机] 乘法"
threat," n. 威胁, 凶兆"
concession," n. 让步, 妥协, 特许权"
locomotive," n. 火车头, 机关车
adj. 运转的, 火车头的, 移动的"
champion," n. 冠军, 拥护者, 勇士
vt. 保卫, 拥护"
smash," n. 破碎,大败,冲突
adj. 非常的,了不起的
v. 粉碎,溃裂,使破产
[羽]扣球"
petition," n. 祈求,请愿书,诉状
vi. 请愿,祈求
vt. 向...请愿或祈求"
fair," adj. 公平的, 晴朗的, 美丽的; 相当的
adj. (皮肤, 毛发等）浅色的; 白皙的
n. 展览会, 市集
adv. 公平地; 直接地"
feeble," adj. 虚弱的, 无力的"
cargo," n. 船货, 货物"
ruby," adj. 红宝石色的
n. 红宝石，红宝石色
Ruby：露比（人名）"
doorway, n. 门口
wedding, n. 婚礼
ink, n. 墨水
capable," adj. 有能力的，足以胜任的, 有...倾向的"
zeal," n. 热情, 热忱"
ordinarily," adv. 通常, 普通, 大概"
missile," n. 导弹,投射物"
mobilize," v. 动员,赋予可动性, 使流通
v. 动员"
shipment," n. 装船,货物,出货"
poisonous, adj. 有毒的
gun," n. 枪, 炮"
pause," n. 暂停,中止,犹豫不决
vi. 停顿,中止
vt. 使停顿"
love," vt.& vi.爱，热爱； 爱戴； 喜欢； 赞美，称赞
vt.喜爱； 喜好； 喜欢； 爱慕
n.爱情，爱意； 疼爱； 热爱； 爱人，所爱之物"
merciful," adj. 仁慈的, 宽大的"
success," n. 成功,发财，胜利，成功者，成功的事物"
only," adj. 最好的,唯一的,出众的
adv. 仅仅,只有,专门地,唯一地,刚才
conj. 除非, 但是, 然而, 毕竟"
apparatus," n. 装置, 器具, 机构, 组织"
tragedy," n. 悲剧, 惨事, 灾难"
breathe," vi. 呼吸
vt. 轻声说,流露感情,注入"
attach," v. 附上, 系上, 贴上, 使依恋"
joyful," adj. 欢喜的,高兴的,令人高兴的"
bypass," vt. 绕开, 忽视
n. 支路，旁道"
disastrous, adj. 灾难性的
perform," v. 执行, 表演, 做"
eject," vt.喷出； 驱逐； 强制离开
vi.弹射出"
invaluable, adj. 无价的
comb," n. 梳子,梳状物,鸡冠,蜂巢
vt. 梳理,清理,搜查,用梳子
vi. 搜寻"
widespread," adj. 分布(或散布)广的,普遍的"
mention," vt.提到，说起； 提名表扬
n.提及"
ahead," adv. 向前地,将来地,占优势,提前"
memorandum, n. 备忘录
gloomy," adj. 阴暗的,抑沉的,忧闷的"
collect," vt.收集； 收藏； 接走； 聚积
vi.募捐； 募集
adj.由受话人付费的"
architect, n. 建筑师
baggage, n. 行李
expression," n. 表达,表示,表现,表情,措辞,词句"
broad," adj.宽阔的； 广泛的； 概括的； 明显的
n.婆娘"
corporation," n. 公司, 法人, 集团"
ease," n. 安乐,安逸,悠闲
vt. 使...安乐,使...安心
v. 减轻,放松"
Mediterranean," adj. 地中海(的)
n. 地中海"
conscientious," adj. 审慎正直的,认真的,本着良心的"
organize," vi. 组织起来
vt. 组织"
offensive," adj. 令人不快的,侮辱的,攻击用的
n. 进攻"
prevail," vi. 获胜, 盛行, 主导"
delight," n. 快乐,高兴
vi. 给与乐趣,使高兴
vt. 使高兴"
promising," adj. 有希望的,有前途的"
secretary," n. 秘书,部长,大臣,书记"
token," n. 表征, 记号, 特点, 纪念品, 代币, 代表人群
adj. 象征性的, 敷衍的"
perpetual," adj. 永恒的,永久的,一再往复的"
impact," n. 冲击(力), 冲突, 影响(力)
vt. 挤入, 压紧; 撞击; 对...发生影响"
republic," n. 共和国,共和政体"
second,"n. vt. 支持
n. 第二,秒
adj. 第二的,次等的,另一个的"
conquest, n. 征服
the," adv. [用于比较级,最高级前]
art. 这(那),这(那)些"
validity," n. 有效性,正确性,正当"
charm," n. 魔力, 魅力, 护身符, 小饰物
vt. 吸引, 使...迷醉, 对...施以魔法"
heel," n. 脚后跟
v. 倾侧"
an, art. 一
honesty," n. 诚实, 正直"
roller," n. 滚筒, 滚轴, 滚转机"
mob," n. 暴民, 民众, 暴徒
v. 大举包围, 乱挤, 围攻"
jewel," n. 宝石
v. 镶以宝石"
intimate," adj. 亲密的,私人的,秘密的
n.  密友
vt. 透露,暗示"
gap," n. (意见、个性等的)差异,缝隙,漏洞,缺口
vt. 制造缺口
嘉普(财富500强公司之一，总部所在地美国,主要经营服装零售)"
requirement," n. 要求,必要条件"
cabbage," n. 卷心菜,洋白菜"
bet," n. 打赌,赌注,最大的可能
vi. 下注
vt. 打赌"
pledge," n. 保证,誓言,抵押,抵押品
vt. 保证,誓言,举杯祝...健康"
useful, adj. 有用的
atom, n. 原子
fully," adv. 十分地, 完全地, 全"
abuse," n.滥用； 恶习； 侮辱； 恶言
vt.滥用； 虐待； 辱骂"
fifth," num. 第五
n.五分之一"
oxygen," n. 氧,氧气"
refer," vt. 把…提交; 把...归因, 归类为
vi. 谈及, 咨询, 参考"
outdoors," adv. 在户外地, 在野外地
n. 露天, 野外
名词outdoor的复数形式"
net," n. 网,净利,实价
adj. 净余的,纯粹的
vt. 用网捕,撒网,净赚"
severe," adj. 剧烈的, 严重的, 严峻的, 严厉的, 严格的"
from," prep. 从,从...起"
more," adv.更，更多； 达到或处于更大的范围或程度； 此外，更加
adj.更多的； (many)的比较级； 附加的，额外的
pron.更多的或附加的人或事物
n.更多； 附加，添加"
agricultural, adj. 农业的
impress," n. 印象,特徵,印记
vt. 使...有印象,影响,印刻,传送
vi. 给人印象"
evaporate," v. 蒸发, 失去水分, 消失"
fill," vt. 装满,填充,弥漫,担任
n. 足量"
dialogue," n. 对话
vt.& vi. 对话"
rival," n.对手； 竞争者
vt.与…竞争； 比得上某人
vi.竞争
adj.竞争的"
caution," n. 警告,戒备措施,慎重,吸引人眼球的物品或人
vt. 警告"
lest," conj. 惟恐, 以免
prep. 唯恐, 以免"
subway, n. 地铁
superficial," adj. 表面的,肤浅的"
gay," adj. 欢快的, 色彩鲜艳的, 同性恋的
n. 同性恋"
pain," n. 痛苦,疼痛,辛苦
vt. &vi. 使...痛苦,痛苦,疼"
transit," n. 经过,运输
vt. 穿越,旋转
vi. 越过"
fortunate," adj. 幸运的,侥幸的"
handy," adj. 方便的, 手边的"
luggage, n. 行李
pant," n.喘气，喘息； 气喘； 喷气声
vi.喘气，喘息； 喘着气说，气喘吁吁地讲； 热望，渴望，想； （机车等）喷气
vt.气喘"
bang," n. 重击,突然巨响,刘海
vt. 重击,大声敲,剪成刘海
vi. 大声敲击,发出巨响
adv. 正好地, 准确地"
gasoline, n. 汽油
leisure," n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
column, n.纵队，列； 圆柱； 专栏
adverse, adj. 不利的；有害的；反面的
graduate," vt. 毕业;(在表、计、尺上)刻[分]度,定等级
vi. 毕业,获学位,逐渐变得
n. 毕业生
adj. 毕业的,获得学位的"
terminate," adj. 有结尾的,有限的
vt. 结束,终止,满期
vi. 达到终点"
sunrise, n. 日出
regard," vt.认为； 注视； 涉及； 尊敬
vi.凝视； 留意
n.凝视； 留意； 尊敬； 问候"
deficient,"adj. 不足的, 不充分的, 有缺陷的"
course," n. 课程, 讲座, 过程, 路线, 一道(菜)"
sunset, n. 日落，衰落时期（尤指人的晚年）
unlock," vt. 开启, 显露, 放开"
hug," n. 紧抱,拥抱
vt. 紧抱,固执,挨着, 停靠
vi. 紧抱, 紧紧靠着"
routine," n. 例行公事, 常规，无聊
adj. 常规的, 例行的，乏味的"
nitrogen, n. 氮
herd," n. 兽群,人群,牧人
vt. 群集,使...成群,放牧
vi. 聚在一起"
obstacle," n. 障碍,绊脚石"
tragic," adj. 悲剧的, 悲惨的"
approve," vt. 批准,核准,证实
vi. 赞同"
correction," n. 订正, 改正, 改正的地方"
iron," adj. 刚强的
n. 铁, 熨斗, 坚强, (复数)铁制物
vt. 熨烫(平), 用铁装备
vi. 熨烫(平)"
economical," adj. 节俭的, 经济的, 合算的"
announce," vi.宣布参加竞选； 当播音员
vt.宣布； 述说； 声称； 预告"
threshold," n. 极限,门槛,入口,开端"
pear, n. 梨(树)
reliability, n. 可靠性
indignant," adj. 愤慨的, 愤愤不平的"
alarm," n. 警报,惊慌,警告,报警器
vt. 使...惊慌,警告, 装报警器"
tender,"adj. 温和的, 亲切的, 未成熟的"
honest," adj. 诚实的,正直的
adv. 老实说"
gradual," adj. 逐渐的, 逐步的"
own," adj. 自己的, 嫡亲的
pron. 自己的
vi. 承认
vt. 拥有, 承认"
reasonably," adv. 适度地, 相当地，合理地，有理性地"
silk," adj. 丝的
n. 丝, 绸"
thereafter," adv. 其后, 从那时以后"
northward," n. 北方,北
adj. 向北的
adv. 向北的"
couple," n. 对, 夫妇, 数个
v. 加倍, 成双, 连结"
unkind," adj. 不和善的，无情的, 不厚道的"
via, prep. 经由
transportation," n. 运输, 运输系统, 运输工具"
warehouse," n. 仓库
vt. 存入仓库"
straw," n. 稻草, 麦杆, 吸管
adj. 用稻草做的, 用来作稻草的, 麦杆色的, 无价值的, 象稻草人的, 非正式民意测验所发现的"
management," n. 管理(层),经营,处理"
amateur," adj. 业余(爱好者)的
n. 业余爱好者,外行"
congratulate, vt. 祝贺
suspend," v. 推迟,悬(浮),挂,暂停,取消
vi. 吊,悬浮
vt. 悬,挂,吊,暂停,中止"
oven," n. 烤炉, 烤箱"
oppose," vt. 反对,以...对抗,抗争"
spy," n. 间谍, 侦探, 侦察
v. 侦探, 找出"
camp," n. 露营,帐棚,训练营,做作
vt. &vi. 露营,扎营,做作
adj. 做作的"
information," n. 信息, 情报, 新闻, 资料, 询问"
exhibit," n. 展览品,展览,物证
vt. 展览，展现，显出(感情或品质),提出证据
vi. 展览"
player," n. 比赛者, 演奏者，演员，播放器"
complement," n. 补语；余角；补足物；补体
vt. 补足，补助"
realm," n. 王国,领域"
pride," n. 高傲,自豪,自尊,一群狮子
vt. 以...自豪"
primary," n. 最主要者
adj. 主要的, 初期的, 根本的"
resolute," adj. 坚决的, 果断的"
usage," n. 惯用法,使用,用法"
singer,"n. n. 歌手,鸣禽 n. 烧毛工,烧毛机；辛格(姓氏)"
estate," n. 财产,房地产,状态,遗产"
slightly," adv. 些微地, 苗条地"
ignite," vi. 着火, 发光
vt. 点燃, 使...燃烧, 引发"
uncertain, adj. 不确定的
abundance," n. 丰富,充裕"
composer, n.创作者（尤指乐曲的）
obligation," n. 义务, 责任"
fairly," adj. 公平地, 相当
adv. 相当地"
label," n.标签； 称标记，符号； [建] 门或窗户上面的线脚
vt.贴标签于； 把…称为； 把…列为； [化]用放射性元素使（元素或原子等）示踪"
solely," adv. 独自地,单独地"
scratch," n. 抓痕,抓的声音,乱写
vt. &vi. 搔痒,抓,抹掉
adj. 使皮肤发痒的，潦草的"
preference," n. 偏爱,优先,喜爱物"
reject," n. 被拒之人,不合格品,不及格者
v. 拒绝,驳回,丢弃"
setting," n.镶嵌； 环境； 装置； （某事、戏剧、小说等的）背景
v.放( set的现在分词)； 安插； 树立； 安排"
lowly," adj. 地位低的, 卑下的, 谦卑的
adv. 位置低下的, 低声地, 谦逊地"
ethic," n. 道德规范, 伦理"
suck," v. 啜,吸,吸入,吮吸 
&lt;俚&gt;糟糕, 太烂了"
upward," adj. 向上的, 上升的
adv. 向上, 上升"
organ," n. 风琴,器官,机构,机关报刊"
article," n. 文章,物品,条款,冠词
vt. 定契约"
slam," n. 砰然声,猛然,猛烈的抨击
vt. 猛然关上,砰地关上,猛烈抨击
vi. 砰地关上,猛攻,猛烈抨击"
favor," [美]n. 好意,喜爱,偏爱,特权
vt. 给予,关心,偏爱,支持,利于,长得像"
hostess, n. 女主人
Asia, n. 亚洲
vertical," adj. 垂直的,顶点的,纵向的
n. 垂直物, 垂直的位置"
memorial," adj. 纪念的, 追悼的
n. 纪念碑(堂), 纪念仪式"
magnetic," adj. 有磁性的,有吸引力的,催眠术的"
spider, n. 蜘蛛
weep," n. 悲叹,哀悼,为...伤心
v. 哭泣,流泪
vi. 流泪,哭泣
vt. 为...而哭"
ice," n. 冰, 矜持
v. 冰冻, 结冰"
charming, adj. 迷人的
demand," n. 要求; 需求
v. 要求, 查问; 需要"
observation," n. 观察,观察力,评论
adj. 被设计用来观察的"
relatively," adv. 比较地, 相对地"
inferior," adj. 次等的, 较低的, 不如的"
elevate," vt. 举起,提拔,素养提升，鼓舞
vi. 变高"
digest," n. 摘要
vt. 消化,理解
vi. 消化"
fro," adv. 向那边, 向后，离开，回来"
leather," adj. 皮革制的
n. 皮革
vt. 用皮革覆盖, 鞭打"
prevalent," adj. 流行的, 普遍的"
anonymous," adj. 匿名的,无名的,没特色的"
accelerate," vt. 加速,提前,跳级
vi. 加速"
majority, n.多数； （获胜的）票数； 成年； 法定年龄
head," n. 头脑,领袖,冷静，硬币的正面，顶端，高潮
vt. &vi. 为首,朝向,前进，超过，起源
adj. 首要的，前面的"
hospitality," n. 好客, 殷勤"
disagreement," n. 不合, 争论, 不一致"
stack," n. 堆叠,堆
vt. 堆积,成叠放在
vi. 堆成一堆"
dentist, n. 牙科医生
wherever," adv. 无论什么地方，在......的各个地方
conj. 无论在哪里"
amplifier," n. 放大器, 扩音机"
eldest, adj. 最老的(最高级)
statesman," n. 政治家, 国务活动家"
army," n. 军队,陆军,大群"
incomparable," adj. 无比的, 无双的, 无可比拟的"
miracle, n. 奇迹
pebble," n. 鹅卵石
n. 水晶, 水晶透镜
v. 用卵石铺,用卵石投掷,使有卵石纹"
conduction, n. 传导
completely," adv. 完全地, 十分地, 全然"
darken," vi. 弄暗, 暗下来
vt. 使变暗，使阴郁，败坏，使模糊"
boss," n. 老板, 上司
v. 指挥, 控制"
scarce," adj. 缺乏的,不足的,稀少的,罕见的
adv. 勉强"
root," n. 根,根源,祖先
vt. &vi. 生根,扎根,翻寻,起源于"
golf," n. 高尔夫球
v. 打高尔夫球
vi. (打)高尔夫球"
laundry," n. 洗衣店, 要洗的衣服, 洗衣"
moisture," n. 潮湿,湿气"
lane," n. 小路, 小巷, 行车道"
dial," n. 刻度盘,针面,转盘
vt. 用仪表测量，操作仪表
vi. 拨号，用仪表测量
[计算机] 拨号"
muscular," adj. 肌肉的, 肌肉发达的"
principle," n. 原则, 原理, 主义, 信念"
loudspeaker," n. 扬声器, 喇叭"
habit," n. 习惯，习性；嗜好
vt. 使穿衣"
communication," n. 沟通,交通"
team," n. 队,组
vt. 协同工作
vi. 结成一队
adj. 团队的"
ampere, n. [电]安培
aggravate," vt. 使...恶化,使...更严重
vt. [口]激怒"
static," n. 静电, 静电干扰, 噪声, 阻碍, 抨击
adj. 静态的,静电的,固态的"
rather," adv. 宁可,宁愿,有些,相当,反而"
frame," n. 框,结构,骨架
v. 构成，把...框起来，陷害
adj. 木结构的"
commonly," adv. 一般地,通常地，普通地"
realistic," adj. 现实的, 现实主义的"
normally," adv. 正常地,通常地"
loosely," adv. 松弛地, 宽松地, 不紧"
pronoun, n. 代词
preside," v. 任主席, 统辖, 当主人"
lion, n. 狮子
symphony, n. 交响乐
lever," n. 杠杆,似杠杆之工具
vt. 撬开,使用杠杆"
weakness, n. 软弱
history, n. 历史
gathering," n. 集会, 聚集"
attain," vt. &vi. 达到,获得"
activate," v. 刺激,使...活动,创设"
microbe, n. 微生物
cave," n. 山洞
v. (使)凹陷
vi. (in)塌落,倒坍"
archeology," n. 考古学，古物
=archaeology"
fasten," vt. 拴紧,使固定,系,强加于
vi. 固定,系紧,抓紧"
rush," vi.（使）急速行进，仓促完成； 猛攻； 急速流动，奔腾
vt.突袭； （使）仓促行事； 催促； （为物色、招募目的）特别关注
n.冲； 匆忙； 繁忙的活动； 涌动"
synthetic," adj. 综合的,合成的,人造的
n. 人工制品"
assessment," n. 估价, 评估"
cotton," n. 棉花,棉
vi. 向…讨好，明白，领悟"
hole," n. 孔,洞,穴
vt. &vi. 挖洞,掘坑,进洞"
shelf," n. 架子,搁板(状物),岩棚"
blunder," n. 大错, 大失策
v. 失策, 绊倒, 弄糟"
antenna," n. 触角,天线,感觉,直觉"
suicide," n.自杀； 自杀者； 自杀行为
vt.自杀
adj.自杀的"
angel," n. 天使,天使般的人"
reliable," adj. 可靠的,可信的"
radiation," n. 辐射,放射线"
vibrate," vt. (使)振动,(使)摇摆
vi. 回响，颤动"
nasty," adj.肮脏的； 下流的，令人讨厌的； 恶劣的，艰险的； 严重的
n.令人不愉快的事物"
robot, n. 机器人
electrify," v. 通电, 上电, 使感电"
macroscopic, adj. 宏观的，肉眼可见的
melon, n. 甜瓜
embark," vt. &vi. 乘船,着手,从事"
eighth," n. 八分之一
num. 第八"
metric," adj. 公制的,米制的,十进制的
n. 度量标准,公制,米制,十进制"
prove," v. 证明, 查验, 显示"
unless," conj. 除非
prep. 除...外"
plead," vt. 辩护,恳求,提出借口
vi. 辩护,反对"
perceive," v. 察觉, 感觉, 认知, 理解"
waitress," n. 女侍者, 女服务员"
thinker, n. 思想者
court," n. 法院, 庭院, 奉承, 球场
v. 献殷勤, 追求, 招致（危险、失败等）"
friction," n. 摩擦,摩擦力,分歧"
wallet," n. 皮夹,钱包"
bulletin," n. 公示,公报,新闻快报,期刊
vt. 发表,用公告通知"
reality," n. 现实,实际,真实"
affair," n. 事件,事情,事务"
contemporary," n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
cast," n. 演员阵容, 投掷
v. 投, 掷, 抛"
due," adj.由于； 适当的； 预定； 到期
n.应有的权利； 应得到的东西； 应缴款
adv.正向； 正对着"
calculate," vt. 计算,估计,考虑,推测
vi. 计算,预测,依赖"
concentrate," vt.& vi.专心于； 注意； 集中； 聚集
vt.浓缩，（使）浓缩； [采矿]汰选； 选矿，精选，富集
vi.凝缩，浓缩，提纯
n.浓缩物
adj.集中起来的，经过浓缩的"
twelfth," adj. 第十二的, 十二分之一的
n. 第十二, 十二日, 第十二音"
necessarily," adv. 必然地,必定地，必需地"
rake," n. 耙子, 集赌金工具, 向船尾的倾斜
v. 向船尾, 了望, 用耙子"
lend," vt. 借,贷款,给予,增添
vi. 贷款"
loan," n. 贷款, 借出, 债权人
v. 借, 供应货款, 借给"
creature," n. 生物, 动物, 人"
quart, n. 夸脱（容量单位）
unknown, adj. 未知的，不出名的
dynamic," adj. 动态的, (有)动力的, (有)力的; 有活力的
n. 动力; 力学"
administer," vt. 管理,执行,给与
vi. 执行管理人职责,给与帮助"
yeast, n. 酵母
visit," n. 拜访,访问
vt. 拜访,访问,参观
vi. 参观, 巡视, 逗留"
league," n. 联盟,社团"
mate," n. 配偶, 同事, 助手
v. 使...配对, 交配, 使...一致, 结伴"
hall," n. 大厅, 礼堂"
ground," n. 土地,战场,场地,根据,背景
vt. 放在地上,使...搁浅,打基础 grind的过去式和过去分词"
mainly, adv. 主要地
subtle," adj. 微妙的,敏感的,精细的,狡诈的,不明显的"
peel," n. 皮
vt. 削皮,剥落
vi. 脱皮,脱衣服,脱离"
conference, n. 会议
bent," bend的过去式和过去分词
adj. 下定决心的,弯曲的
n. 荒草地,嗜好,排架"
needle," n. 针
vt. 用针缝,激怒,嘲弄
vi. 缝纫"
negate," v. 否定, 否认, 打消"
disperse," vt. 分散,传播,散开
vi. 分散"
moreover, adv.再者； 此外； 而且； 同时
tram," n. （英）有轨电车,矿车,煤车,缆车
(复数）trams:有轨电车轨道
vt. 用缆车,电车等运输"
maid," n. 女仆, 侍女"
conceal," vt. 隐藏, 掩盖"
symbol," n. 符号, 标志, 象征"
tumble," n. 跌倒,混乱
vi. 跌倒,下跌,倒塌,翻跟斗,偶然发现,理解
vt. 使摔倒,使混乱,翻滚"
submerge," vt. 使浸没, 潜入水中, 覆盖
vi. 浸没"
network," n. 网络,系统,广播网
vt. 用网覆盖,联网
vi. 加入网络"
opportunity," n. 机会, 时机"
disappear," vi. 消失,灭绝
vt. 引起消失"
praise," n. 赞美,称赞,崇拜
vt. 称赞,归荣誉于,赞美
vi. 赞美"
converge," vi. 聚合,集中于一点
vt. 使集合"
skyscraper, n. 摩天大楼
despite," prep. 不管, 尽管
v.憎恨, 轻视"
ban," n. 禁令
v. 禁止
vt. 禁止,取缔"
